Facet,RunName,Iteration,AUC
A,Taxonomy-based heuristic,1,0.6411122661122661
A,Taxonomy-based heuristic,2,0.5284391534391535
A,Taxonomy-based heuristic,3,0.5633606162734713
A,Taxonomy-based heuristic,4,0.5645958162514454
A,Taxonomy-based heuristic,5,0.6003645603181618
A,Taxonomy-based heuristic,6,0.643364448051948
A,Taxonomy-based heuristic,7,0.5960742705570292
A,Taxonomy-based heuristic,8,0.6369594336012246
A,Taxonomy-based heuristic,9,0.528414442700157
A,Taxonomy-based heuristic,10,0.6334769107482721
A,Taxonomy-based heuristic,11,0.5348583877995643
A,Taxonomy-based heuristic,12,0.5875700458481915
A,Taxonomy-based heuristic,13,0.5651522973670625
A,Taxonomy-based heuristic,14,0.5372289793759916
A,Taxonomy-based heuristic,15,0.6558869701726845
A,Taxonomy-based heuristic,16,0.6145316603443245
A,Taxonomy-based heuristic,17,0.6915821501014199
A,Taxonomy-based heuristic,18,0.627129817444219
A,Taxonomy-based heuristic,19,0.5974616604970915
A,Taxonomy-based heuristic,20,0.6215486500254712
A,Taxonomy-based heuristic,21,0.599990273319716
A,Taxonomy-based heuristic,22,0.5011676312315971
A,Taxonomy-based heuristic,23,0.6070026525198939
A,Taxonomy-based heuristic,24,0.563768115942029
A,Taxonomy-based heuristic,25,0.59528205128205125
A,Taxonomy-based heuristic,26,0.5652864708714492
A,Taxonomy-based heuristic,27,0.688331988705123
A,Taxonomy-based heuristic,28,0.603425823900631
A,Taxonomy-based heuristic,29,0.5811389759665622
A,Taxonomy-based heuristic,30,0.5875090777051561
A,Taxonomy-based heuristic,31,0.5751243781094527
A,Taxonomy-based heuristic,32,0.599723982825598
A,Taxonomy-based heuristic,33,0.637753036437247
A,Taxonomy-based heuristic,34,0.620485778203899
A,Taxonomy-based heuristic,35,0.5787258975178439
A,Taxonomy-based heuristic,36,0.5641939315408703
A,Taxonomy-based heuristic,37,0.5907122753842823
A,Taxonomy-based heuristic,38,0.6978973407544836
A,Taxonomy-based heuristic,39,0.5700602079912425
A,Taxonomy-based heuristic,40,0.566838958143306
A,Taxonomy-based heuristic,41,0.6048063415613084
A,Taxonomy-based heuristic,42,0.5811287477954145
A,Taxonomy-based heuristic,43,0.6143070203472888
A,Taxonomy-based heuristic,44,0.5890157057848014
A,Taxonomy-based heuristic,45,0.6193981381251353
A,Taxonomy-based heuristic,46,0.6193121127964111
A,Taxonomy-based heuristic,47,0.5691275167785235
A,Taxonomy-based heuristic,48,0.5950772200772201
A,Taxonomy-based heuristic,49,0.5715478551299447
A,Taxonomy-based heuristic,50,0.6204554738562091
A,Taxonomy-based heuristic,51,0.5388278388278388
A,Taxonomy-based heuristic,52,0.5526473526473527
A,Taxonomy-based heuristic,53,0.6507230255839822
A,Taxonomy-based heuristic,54,0.5748299319727891
A,Taxonomy-based heuristic,55,0.6178955453149002
A,Taxonomy-based heuristic,56,0.6884350132625995
A,Taxonomy-based heuristic,57,0.5753701928198572
A,Taxonomy-based heuristic,58,0.5747297992794648
A,Taxonomy-based heuristic,59,0.6581353853016616
A,Taxonomy-based heuristic,60,0.6142928039702233
A,Taxonomy-based heuristic,61,0.6564251207729469
A,Taxonomy-based heuristic,62,0.5817101675107129
A,Taxonomy-based heuristic,63,0.565072765072765
A,Taxonomy-based heuristic,64,0.6555977229601518
A,Taxonomy-based heuristic,65,0.6228152799581371
A,Taxonomy-based heuristic,66,0.5923076923076923
A,Taxonomy-based heuristic,67,0.5805369127516778
A,Taxonomy-based heuristic,68,0.6116970278044104
A,Taxonomy-based heuristic,69,0.6249024199843872
A,Taxonomy-based heuristic,70,0.6086275780153331
A,Taxonomy-based heuristic,71,0.648101773014124
A,Taxonomy-based heuristic,72,0.593473663975394
A,Taxonomy-based heuristic,73,0.5702091577162238
A,Taxonomy-based heuristic,74,0.607016632016632
A,Taxonomy-based heuristic,75,0.6316468766133195
