UniversalName,N,InfectsHumans,BagScore_Lower,BagScore_Upper,BagScore
Adeno-associated dependoparvovirus A,100,True,0.20115409483251076,0.3709125081241892,0.259152994695266
Adeno-associated dependoparvovirus B,100,True,0.2019587490271293,0.3905573871653426,0.26232047267116876
Aedes pseudoscutellaris reovirus,100,False,0.20801097472384783,0.3707202402262903,0.25381081714730347
African green monkey simian foamy virus,100,True,0.21969516473895953,0.3725729262059884,0.2674119585177278
African horse sickness virus,100,False,0.2038038314834199,0.35754678627002834,0.24439955049903866
African pouched rat arterivirus,100,False,0.19813568741214085,0.3603745600910214,0.23737551490950867
African swine fever virus,100,False,0.1982858978639077,0.36943382117165635,0.23994297897363326
Aichivirus A,100,True,0.22130547290673677,0.30780614016231367,0.2579040166318346
Aichivirus B,100,False,0.22435051668338618,0.368698098391952,0.26398215021603677
Aichivirus C,100,False,0.22726424018443564,0.3763157788164231,0.2689672636184269
Aichivirus D,100,False,0.2230766901816762,0.3753617423884441,0.2694367799552428
Aichivirus E,100,False,0.22278342267324508,0.32162459115220926,0.26630159756589983
Aichivirus F,100,False,0.22677471627129236,0.36425324479809107,0.269094267674671
Alcelaphine gammaherpesvirus 1,100,False,0.20630876158813022,0.36585827201575916,0.2492318849652039
Alethinophid 2 reptarenavirus,100,False,0.23690036632623585,0.38064870083450253,0.29775412027627235
Alethinophid 3 reptarenavirus,100,False,0.2332723037272048,0.38009625805134317,0.2979304359943169
Alfalfa dwarf cytorhabdovirus,100,False,0.2110212016953379,0.3692941211970444,0.25468538901625154
Allpahuayo mammarenavirus,100,False,0.24007082607110325,0.3970320274226956,0.3034595029143336
Almpiwar sripuvirus,100,False,0.2135413651226105,0.3657973133760443,0.2521060756990377
Alphapapillomavirus 1,100,True,0.4043269283090102,0.5484413838618842,0.470310566199463
Alphapapillomavirus 11,100,True,0.4097369282803829,0.5547146710233537,0.4728406916241507
Alphapapillomavirus 12,100,False,0.42466672280730855,0.5712107999937184,0.48958054844748544
Alphapapillomavirus 13,100,True,0.41457694733382133,0.5742393501468659,0.47883363707123056
Alphapapillomavirus 14,100,True,0.4099078078303223,0.5909533107110974,0.4696461284763961
Alphapapillomavirus 2,100,True,0.39553924165418486,0.5642144185629544,0.4708105426037171
Alphapapillomavirus 3,100,True,0.40427876199377166,0.5425795924393619,0.4722892580227232
Alphapapillomavirus 4,100,True,0.40939456829995957,0.5431969096347532,0.47225302744256054
Alphapapillomavirus 5,100,True,0.4144329430295973,0.569467483670742,0.4778039376712171
Alphapapillomavirus 6,100,True,0.41213665121864357,0.5798092725298112,0.4705899194681646
Alphapapillomavirus 7,100,True,0.4078905138007035,0.5653407438305864,0.47625205464439596
Alphapapillomavirus 8,100,True,0.40625862395997414,0.5733067442604338,0.47322290457244814
Alphapapillomavirus 9,100,True,0.3949310418719626,0.5858357110274721,0.4716269399941868
Amaparí mammarenavirus,100,False,0.25356393995008564,0.3901324171104127,0.31130499839154296
American bat vesiculovirus,100,False,0.21149678231713048,0.3708808436810008,0.2567894355901309
Ampivirus A,100,False,0.22901148676117616,0.38201871445081936,0.27493923174837526
Andes orthohantavirus,100,True,0.23316490113537133,0.38544263783953103,0.29668125315071153
Anguillid perhabdovirus,100,False,0.20921549075942777,0.29698571541076846,0.24210936280652856
Aquamavirus A,100,False,0.2286982792225782,0.3591819391244565,0.26770981570616187
Aquareovirus A,100,False,0.20801449459147864,0.36423250864234014,0.24847215434381445
Aquareovirus C,100,False,0.20458293410986897,0.36502382562019386,0.2482623409811603
Aquareovirus E,100,False,0.20788439352066618,0.3654874530667463,0.2532331343421176
Aravan lyssavirus,100,True,0.20629028669010457,0.36766942585867424,0.2532755464185808
